"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"Franklin India Prima Fund - Direct Plan","* * * * ","EQ-MC     ","Jan 01, 2013","1.23","13.25","33/87","6500.11"
"SBI Emerging Businesses Fund - Direct Plan","* * ","EQ-MC     ","Jan 01, 2013","1.38","13.15","34/87","2383.12"
"Edelweiss Mid and Small Cap Fund - Regular Plan","* * * * ","EQ-MC     ","Dec 26, 2007","2.3","13.11","35/87","652.7"
"LIC MF Midcap Fund - Regular Plan","* * * ","EQ-MC     ","Feb 25, 2015","2.83","12.99","36/87","281.43"
"Taurus Discovery (Midcap) Fund - Regular Plan","* * ","EQ-MC     ","Sep 05, 1994","2.68","12.99","37/87","51.89"
"Aditya Birla Sun Life Mid Cap Fund","* * * ","EQ-MC     ","Oct 03, 2002","2.37","12.78","38/87","2392.75"
"ICICI Prudential Midcap Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","1.22","12.77","39/87","1498.38"
"Sundaram S.M.I.L.E. Fund - Direct Plan","* ","EQ-SC     ","Jan 01, 2013","1.78","12.72","17/20","1359.63"
"ICICI Prudential Dividend Yield Equity Fund - Direct Plan","* * ","EQ-MC     ","May 16, 2014","1.3","12.61","40/87","226.7"
"SBI Magnum Midcap Fund - Direct Plan","* * * * ","EQ-MC     ","Jan 01, 2013","1.16","12.56","41/87","3933.29"
"BNP Paribas Midcap Fund - Direct Plan","* * * * ","EQ-MC     ","Jan 01, 2013","0.91","12.54","42/87","813.78"
"Kotak Select Focus Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1","12.38","2/162","17802.56"
"Motilal Oswal Midcap 100 Exchange Traded Fund","* * ","EQ-MC     ","Jan 31, 2011","1.5","12.37","43/87","22.37"
"Reliance Mid & Small Cap Fund - Direct Plan","* * ","EQ-MC     ","Jan 01, 2013","1.19","12.29","44/87","3320.24"
"Escorts Growth Fund - Direct Plan","* * ","EQ-MC     ","Jan 01, 2013","-","12.28","45/87","5.99"
"Escorts Growth Fund","* * ","EQ-MC     ","Mar 21, 2001","-","12.22","46/87","5.99"
"Sundaram S.M.I.L.E. Fund - Regular Plan","* ","EQ-SC     ","Feb 15, 2005","2.58","12.18","18/20","1359.63"
"SBI Emerging Businesses Fund","* * ","EQ-MC     ","Oct 11, 2004","2.08","12.1","47/87","2383.12"
"Franklin India Prima Fund","* * * ","EQ-MC     ","Dec 01, 1993","2.34","12.02","48/87","6500.11"
"JM Core 11 Fund","* * * * ","EQ-LC     ","Mar 05, 2008","-","11.98","3/162","34.5"
"ICICI Prudential Dividend Yield Equity Fund","* * ","EQ-MC     ","May 16, 2014","2.28","11.86","49/87","226.7"
"Mirae Asset India Equity Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.6","11.78","4/162","6785.26"
"UTI Mid Cap Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","1.36","11.76","50/87","4166.76"
"Edelweiss Economic Resurgence Fund - Direct Plan","* * * ","EQ-MC     ","Jan 27, 2015","1.08","11.74","51/87","41.8"
"ICICI Prudential Midcap Fund","* * * ","EQ-MC     ","Oct 28, 2004","2.45","11.67","52/87","1498.38"
"Invesco India Mid N Small Cap Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","0.98","11.5","53/87","526.75"
"Invesco India Growth Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.1","11.47","5/162","335.91"
"Invesco India Mid Cap Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","1.03","11.43","54/87","174.08"
"Reliance Growth Fund - Direct Plan","* * ","EQ-MC     ","Jan 01, 2013","1.28","11.33","55/87","7032.8"
"JM Multi Strategy Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","-","11.3","6/162","145.77"
"SBI Magnum Midcap Fund","* * * ","EQ-MC     ","Mar 29, 2005","2.03","11.27","56/87","3933.29"
"Reliance Mid & Small Cap Fund","* * ","EQ-MC     ","Dec 26, 2006","2.04","11.24","57/87","3320.24"
"Indiabulls Bluechip Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.59","11.18","7/162","1021.83"
"Kotak Select Focus Fund Regular Plan","* * * * * ","EQ-LC     ","Sep 11, 2009","1.97","11.13","8/162","17802.56"
"Mirae Asset India Equity Fund - Regular Plan","* * * * * ","EQ-LC     ","Apr 04, 2008","2.37","10.93","9/162","6785.26"
"Edelweiss Economic Resurgence Fund - Regular Plan","* * * ","EQ-MC     ","Jan 27, 2015","2.19","10.92","58/87","41.8"
"BNP Paribas Midcap Fund","* * * ","EQ-MC     ","May 02, 2006","2.41","10.88","59/87","813.78"
"HDFC Growth Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.61","10.87","10/162","1169.14"
