"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"Edelweiss Prudent Advantage Fund - Regular Plan","* * * ","EQ-LC     ","Aug 12, 2009","2.5","6.09","110/162","10.5"
"Tata Large Cap Fund - Regular Plan","* * * ","EQ-LC     ","May 07, 1998","1.04","6.02","111/162","789.71"
"Franklin India Index Fund - NSE Nifty Plan - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.64","6","112/162","234.15"
"IDBI Diversified Equity Fund - Regular Plan","* ","EQ-MC     ","Mar 28, 2014","3.05","5.99","86/87","376.81"
"DHFL Pramerica Large Cap Fund","* * * ","EQ-LC     ","Jan 21, 2003","2.51","5.99","113/162","398.24"
"HDFC Index Fund - Sensex Plus Plan","* * ","EQ-LC     ","Jul 17, 2002","1","5.97","114/162","103.29"
"Reliance Vision Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.37","5.95","115/162","3500.23"
"Reliance Index Fund - Nifty Plan - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.25","5.95","116/162","139.35"
"Tata Index Sensex Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","-","5.89","117/162","4.92"
"IDBI Nifty Index Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.7","5.89","118/162","200.8"
"Reliance Focused Large Cap Fund","* * * ","EQ-LC     ","Mar 28, 2006","2.15","5.88","119/162","1344.8"
"ICICI Prudential Select Large Cap Fund","* * * ","EQ-LC     ","May 28, 2009","2.46","5.86","120/162","586.11"
"Aditya Birla Sun Life Dividend Yield Plus Fund","* ","EQ-MC     ","Feb 26, 2003","2.3","5.79","87/87","1025.66"
"ICICI Prudential Nifty Index Fund","* * ","EQ-LC     ","Feb 26, 2002","0.94","5.75","121/162","302.82"
"SBI Nifty Index Fund","* * ","EQ-LC     ","Feb 04, 2002","0.66","5.74","122/162","215.5"
"UTI Mastershare Fund","* * * ","EQ-LC     ","Oct 18, 1986","2.31","5.73","123/162","4990.53"
"Taurus Starshare (Multi Cap) Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","2.41","5.7","124/162","221.14"
"Reliance Index Fund - Sensex Plan - Direct Plan","Unrated","EQ-LC     ","Jan 01, 2013","0.25","5.69","125/162","5.03"
"Tata Index Nifty Fund - Regular Plan","* * ","EQ-LC     ","Feb 25, 2003","-","5.65","126/162","11.04"
"Principal Index Fund - Nifty","* * ","EQ-LC     ","Jul 27, 1999","0.95","5.63","127/162","18.2"
"LIC MF Index-Nifty Plan - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.64","5.61","128/162","17.49"
"IDBI India Top 100 Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.21","5.6","129/162","420.95"
"Franklin India Index Fund - NSE Nifty Plan","* * ","EQ-LC     ","Aug 04, 2000","1.08","5.56","130/162","234.15"
"Reliance Quant Plus Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.39","5.55","131/162","26.56"
"Aditya Birla Sun Life Index Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.45","5.53","132/162","160.21"
"Motilal Oswal M50 ETF Fund","* ","EQ-LC     ","Jul 28, 2010","1.5","5.44","133/162","21.1"
"DSP BlackRock Top 100 Equity Fund - Regular Plan","* * ","EQ-LC     ","Mar 10, 2003","2.4","5.41","134/162","3087.31"
"L&T India Large Cap Fund","* * * ","EQ-LC     ","Oct 23, 2007","2.5","5.37","135/162","379.61"
"Tata Index Sensex Fund - Regular Plan","* ","EQ-LC     ","Feb 25, 2003","-","5.36","136/162","4.92"
"Reliance Quant Plus Fund - Retail Plan","* * ","EQ-LC     ","Feb 02, 2005","1.09","5.36","137/162","26.56"
"Reliance Index Fund - Nifty Plan","* * ","EQ-LC     ","Sep 28, 2010","0.85","5.34","138/162","139.35"
"UTI Opportunities Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","1.38","5.3","139/162","4229.14"
"IDFC Equity Fund - Regular Plan","* * * ","EQ-LC     ","Jun 09, 2006","2.53","5.28","140/162","307"
"Aditya Birla Sun Life Index Fund","* * ","EQ-LC     ","Sep 18, 2002","0.75","5.26","141/162","160.21"
"Reliance Vision Fund","* * * * ","EQ-LC     ","Oct 08, 1995","2.02","5.23","142/162","3500.23"
"HDFC Large Cap Fund - Direct Plan","* ","EQ-LC     ","Jan 01, 2013","2.14","5.19","143/162","1277.28"
"Reliance Index Fund - Sensex Plan","Unrated","EQ-LC     ","Sep 28, 2010","0.85","5.14","144/162","5.03"
"Taurus Nifty Index Fund - Regular Plan","Unrated","EQ-LC     ","Jun 19, 2010","1.48","5.11","145/162","1.52"
"LIC MF Index-Sensex Plan - Direct Plan","* ","EQ-LC     ","Jan 01, 2013","1.14","5.11","146/162","14.26"
"JM Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","-","5.11","147/162","2926.8"
"HDFC Large Cap Fund - Regular Plan","* ","EQ-LC     ","Feb 18, 1994","2.24","5.07","148/162","1277.28"
"LIC MF Index-Nifty Plan","* ","EQ-LC     ","Nov 28, 2002","1.2","5.06","149/162","17.49"
"Baroda Pioneer PSU Equity Fund - Direct Plan","Unrated","EQ-MC     ","Jan 01, 2013","2.29","4.83","-","38.36"
"LIC MF Growth Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.59","4.75","150/162","239.88"
"IDBI Nifty Index Fund","* ","EQ-LC     ","Jun 25, 2010","2","4.68","151/162","200.8"
"Taurus Starshare (Multi Cap) Fund - Regular Plan","* * ","EQ-LC     ","Jan 29, 1994","2.55","4.65","152/162","221.14"
"LIC MF Index-Sensex Plan","* ","EQ-LC     ","Nov 28, 2002","1.7","4.52","153/162","14.26"
"UTI Opportunities Fund","* ","EQ-LC     ","Jul 20, 2005","2.32","4.51","154/162","4229.14"
"IDBI India Top 100 Equity Fund","* * * ","EQ-LC     ","May 15, 2012","3.08","4.35","155/162","420.95"
"CPSE Exchange Traded Fund","* ","EQ-LC     ","Mar 28, 2014","0.07","4.29","156/162","4962.54"
"Baroda Pioneer Midcap Fund","Unrated","EQ-MC     ","Oct 04, 2010","3.26","4.04","-","38.36"
"Union Equity Fund - Direct Plan","* ","EQ-LC     ","Jan 01, 2013","2.03","3.86","157/162","209.9"
"Taurus Largecap Equity Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","1.92","3.86","158/162","120.56"
"LIC MF Growth Fund","* * ","EQ-LC     ","Aug 31, 1994","2.85","3.68","159/162","239.88"
"JM Equity Fund","* ","EQ-LC     ","Apr 01, 1995","-","3.61","160/162","2926.8"
"Baroda Pioneer Infrastructure Fund - Direct Plan","Unrated","EQ-LC     ","Jan 01, 2013","2.43","3.45","-","28.56"
"Union Equity Fund","* ","EQ-LC     ","Jun 10, 2011","2.56","3.03","161/162","209.9"
"Baroda Pioneer Large Cap Fund","Unrated","EQ-LC     ","Jun 22, 2010","3.31","2.74","-","28.56"
"Taurus Largecap Equity Fund - Regular Plan","* ","EQ-LC     ","Feb 28, 1995","2.61","2.51","162/162","120.56"
"UTI Sensex Exchange Traded Fund","Unrated","EQ-LC     ","Aug 26, 2015","-","-","-","2019.68"
"UTI Nifty Exchange Traded Fund","Unrated","EQ-LC     ","Aug 26, 2015","-","-","-","6189.23"
"Union Largecap Fund - Regular Plan","Unrated","EQ-LC     ","May 04, 2017","2.81","-","-","353.39"
"Union Largecap Fund - Direct Plan","Unrated","EQ-LC     ","May 04, 2017","2.02","-","-","353.39"
"SBI ETF Nifty 50","Unrated","EQ-LC     ","Jul 20, 2015","-","-","-","28953.07"
"SBI ETF BSE 100 Fund","Unrated","EQ-LC     ","Mar 16, 2015","-","-","-","1.49"
"Reliance ETF NV20","Unrated","EQ-LC     ","Jun 12, 2015","0.34","-","-","18.22"
"Quantum Long Term Equity - Regular Plan #","* * * * ","EQ-LC     ","Apr 01, 2017","1.46","-","-","-"
"Mahindra Unnati Emerging Business Yojana - Regular Plan","Unrated","EQ-MC     ","Jan 22, 2018","2.53","-","-","334.26"
"Mahindra Unnati Emerging Business Yojana - Direct Plan","Unrated","EQ-MC     ","Jan 22, 2018","0.72","-","-","334.26"
"LIC MF Exchange Traded Fund - Sensex","Unrated","EQ-LC     ","Nov 23, 2015","0.1","-","-","338.45"
"LIC MF Exchange Traded Fund - Nifty 50","Unrated","EQ-LC     ","Nov 16, 2015","0.1","-","-","456.99"
"LIC MF Exchange Traded Fund - Nifty 100","Unrated","EQ-LC     ","Mar 11, 2016","0.25","-","-","294.85"
"Kotak NV 20 ETF","Unrated","EQ-LC     ","Nov 26, 2015","-","-","-","2.87"
"Indiabulls Value Discovery Fund - Regular Plan","Unrated","EQ-SC     ","Sep 08, 2015","2.96","-","-","58.23"
"Indiabulls Value Discovery Fund - Direct Plan","Unrated","EQ-SC     ","Sep 08, 2015","1.67","-","-","58.23"
"IDFC Sensex ETF","Unrated","EQ-LC     ","Sep 30, 2016","0.11","-","-","0.83"
"IDFC Nifty ETF","Unrated","EQ-LC     ","Sep 30, 2016","0.13","-","-","3.64"
"IDBI Small Cap Fund - Regular Plan","Unrated","EQ-MC     ","Jun 15, 2017","3.26","-","-","229.13"
"IDBI Small Cap Fund - Direct Plan","Unrated","EQ-MC     ","Jun 15, 2017","0.41","-","-","229.13"
"IDBI Midcap Fund - Regular Plan","Unrated","EQ-MC     ","Feb 02, 2017","3.17","-","-","280.25"
"IDBI Midcap Fund - Direct Plan","Unrated","EQ-MC     ","Feb 02, 2017","0.38","-","-","280.25"
"IDBI Focused 30 Equity Fund - Regular Plan","Unrated","EQ-LC     ","Nov 13, 2017","3.25","-","-","343.63"
"IDBI Focused 30 Equity Fund - Direct Plan","Unrated","EQ-LC     ","Nov 13, 2017","0.38","-","-","343.63"
"ICICI Prudential Sensex Index Fund - Direct Plan","Unrated","EQ-LC     ","Sep 18, 2017","0.2","-","-","3.11"
"ICICI Prudential Sensex Index Fund","Unrated","EQ-LC     ","Sep 18, 2017","0.47","-","-","3.11"
"ICICI Prudential NV20 iWIN ETF","Unrated","EQ-LC     ","Jun 14, 2016","0.44","-","-","9.21"
"ICICI Prudential Nifty Low Vol 30 IWin ETF","Unrated","EQ-LC     ","Jun 27, 2017","0.42","-","-","11.74"
"ICICI Prudential Advisor-Very Aggressive Fund - Direct","Unrated","EQ-LC     ","Jan 01, 2013","-","-","-","4.47"
"HDFC Sensex ETF","Unrated","EQ-LC     ","Dec 07, 2015","0.05","-","-","47.12"
"HDFC Nifty ETF","Unrated","EQ-LC     ","Dec 07, 2015","0.05","-","-","192.96"
"Essel Large & Midcap Fund - Regular Plan","Unrated","EQ-MC     ","Dec 07, 2015","2.97","-","-","91.5"
"Essel Large & Midcap Fund - Direct Plan","Unrated","EQ-MC     ","Dec 07, 2015","1.84","-","-","91.5"
"Edelweiss Exchange Traded Fund-Nifty 50","Unrated","EQ-LC     ","May 08, 2015","0.07","-","-","3.03"
"Edelweiss ETF - Nifty Quality 30","Unrated","EQ-LC     ","May 25, 2016","0.21","-","-","3.35"
"DSP BlackRock Equal Nifty 50 Fund - Regular Plan","Unrated","EQ-LC     ","Oct 13, 2017","0.9","-","-","135.74"
"DSP BlackRock Equal Nifty 50 Fund - Direct Plan","Unrated","EQ-LC     ","Oct 13, 2017","0.4","-","-","135.74"
"BNP Paribas Focused 25 Equity Fund - Regular Plan","Unrated","EQ-LC     ","Sep 29, 2017","2.68","-","-","252.55"
"BNP Paribas Focused 25 Equity Fund - Direct Plan","Unrated","EQ-LC     ","Sep 29, 2017","1.41","-","-","252.55"
"BHARAT 22 ETF","Unrated","EQ-LC     ","Nov 17, 2017","0.01","-","-","6042.27"
"Axis Nifty ETF - Regular Plan","Unrated","EQ-LC     ","Jun 27, 2017","0.07","-","-","7.09"
"Aditya Birla Sun Life Sensex ETF","Unrated","EQ-LC     ","Jul 14, 2016","-","-","-","11.11"
"# Rating is provisional"
