"Value Research Online"
"Date: 06-Apr-2018 11:20"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"Principal Personal Tax Saver Fund - Direct Plan","* * ","EQ-TS     ","Jan 02, 2013","1.85","8.87","50/71","310.23"
"IDBI Equity Advantage Fund - Regular Plan","* * ","EQ-TS     ","Sep 10, 2013","2.79","8.73","51/71","671.72"
"Kotak Tax Saver Regular Plan","* * ","EQ-TS     ","Nov 23, 2005","2.18","8.65","52/71","717.02"
"Edelweiss Long Term Equity Fund (Tax Savings) - Regular Plan","* * * ","EQ-TS     ","Dec 30, 2008","2.29","8.49","53/71","75.19"
"Baroda Pioneer ELSS 96 Fund - Direct Plan","* * ","EQ-TS     ","Jan 01, 2013","2.18","8.36","54/71","132.29"
"LIC MF Tax Plan","* * ","EQ-TS     ","Mar 31, 1997","2.7","8.36","55/71","158.08"
"Edelweiss Tax Advantage Fund - Regular Plan","* * ","EQ-TS     ","Jan 27, 2009","2.5","8.33","56/71","12.22"
"UTI Long Term Equity Fund","* * ","EQ-TS     ","Dec 15, 1999","2.38","8.23","57/71","935.09"
"HDFC Taxsaver Fund","* ","EQ-TS     ","Mar 31, 1996","2.1","8.2","58/71","7016.55"
"Principal Personal Tax Saver Fund","* ","EQ-TS     ","Mar 31, 1996","2.34","8.2","59/71","310.23"
"Reliance Tax Saver (ELSS) Fund - Direct Plan","* * * ","EQ-TS     ","Jan 01, 2013","1.04","8.13","60/71","10344.84"
"Canara Robeco Equity Tax Saver Fund - Direct Plan","* ","EQ-TS     ","Jan 02, 2013","1.35","7.93","61/71","833.75"
"Franklin India Taxshield Fund","* * * ","EQ-TS     ","Apr 10, 1999","2.21","7.85","62/71","3437.44"
"SBI Magnum Taxgain Scheme - Direct Plan","* * * ","EQ-TS     ","Jan 01, 2013","1.33","7.31","63/71","6430.58"
"Baroda Pioneer ELSS 96 Fund","* * ","EQ-TS     ","Mar 31, 1996","3.04","7.25","64/71","132.29"
"Reliance Tax Saver (ELSS) Fund","* * * ","EQ-TS     ","Sep 21, 2005","1.79","7.24","65/71","10344.84"
"BNP Paribas Long Term Equity Fund - Direct Plan","* * * ","EQ-TS     ","Jan 01, 2013","1.26","7.22","66/71","550.59"
"Canara Robeco Equity Tax Saver Fund - Regular Plan","* ","EQ-TS     ","Mar 31, 1993","2.29","7.19","67/71","833.75"
"SBI Magnum Taxgain Scheme","* * ","EQ-TS     ","Mar 31, 1993","1.8","6.64","68/71","6430.58"
"BNP Paribas Long Term Equity Fund","* * ","EQ-TS     ","Jan 05, 2006","2.28","6.31","69/71","550.59"
"Union Tax Saver Fund - Direct Plan","* ","EQ-TS     ","Jan 01, 2013","2.04","4.56","70/71","205.47"
"Union Tax Saver Fund","* ","EQ-TS     ","Dec 23, 2011","2.38","3.64","71/71","205.47"
"Quantum Tax Saving - Regular Plan #","* * * ","EQ-TS     ","Apr 01, 2017","1.46","-","-","-"
"Mirae Asset Tax Saver Fund - Regular Plan","Unrated","EQ-TS     ","Dec 28, 2015","2.52","-","-","863.92"
"Mirae Asset Tax Saver Fund - Direct Plan","Unrated","EQ-TS     ","Dec 28, 2015","1.39","-","-","863.92"
"Mahindra Mutual Fund Kar Bachat Yojana - Regular Plan","Unrated","EQ-TS     ","Oct 18, 2016","2.34","-","-","277.55"
"Mahindra Mutual Fund Kar Bachat Yojana - Direct Plan","Unrated","EQ-TS     ","Oct 18, 2016","0.53","-","-","277.55"
"Indiabulls Tax Savings Fund - Regular Plan","Unrated","EQ-TS     ","Dec 20, 2017","2.78","-","-","67.02"
"Indiabulls Tax Savings Fund - Direct Plan","Unrated","EQ-TS     ","Dec 20, 2017","1.82","-","-","67.02"
"HDFC Retirement Savings Fund-Equity Plan - Regular Plan","Unrated","EQ-TS     ","Feb 25, 2016","2.81","-","-","410.43"
"HDFC Retirement Savings Fund - Equity Plan - Direct Plan","Unrated","EQ-TS     ","Feb 25, 2016","1.31","-","-","410.43"
"Essel Long Term Advantage Fund - Regular Plan","Unrated","EQ-TS     ","Dec 30, 2015","2.8","-","-","40.97"
"Essel Long Term Advantage Fund - Direct Plan","Unrated","EQ-TS     ","Dec 30, 2015","1.51","-","-","40.97"
"DHFL Pramerica Long Term Equity Fund - Regular Plan","Unrated","EQ-TS     ","Dec 11, 2015","2.37","-","-","222.07"
"DHFL Pramerica Long Term Equity Fund - Direct Plan","Unrated","EQ-TS     ","Dec 11, 2015","1.5","-","-","222.07"
"# Rating is provisional"
