"Value Research Online"
"Date: 01-Apr-2018 13:07"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Edelweiss Mid Cap Fund - Direct Plan","* * * * ","Average","15.37","0.87","1.19","0.92","8.98","0.66"
"Edelweiss Mid Cap Fund - Regular Plan","* * * * ","Average","15.36","0.82","1.13","0.92","8.23","0.67"
"Edelweiss Multi Asset Allocation Fund - Direct Plan","* * * ","Below Average","11.68","0.42","0.77","0.79","1.22","0.85"
"Edelweiss Multi Asset Allocation Fund - Regular Plan","* * * ","Below Average","11.64","0.38","0.69","0.79","0.73","0.85"
"Edelweiss Multi Cap Fund - Direct Plan","* * * ","Average","16.05","0.66","0.94","1.07","5.59","0.83"
"Edelweiss Multi Cap Fund - Regular Plan","* * * ","Average","16.06","0.62","0.87","1.07","4.83","0.83"
"Escorts Growth Fund","* * ","Average","14.42","0.71","0.83","0.82","6.38","0.6"
"Escorts Growth Fund - Direct Plan","* * ","Below Average","14.42","0.71","0.83","0.82","6.42","0.6"
"Escorts High Yield Equity Fund","* * * * ","Low","13.4","0.98","1.27","0.77","9.45","0.62"
"Escorts High Yield Equity Fund - Direct Plan","* * * * ","Low","13.42","0.97","1.27","0.77","9.42","0.62"
"Escorts Leading Sectors Fund","Unrated","-","12.41","0.99","1.1","0.62","9.44","0.46"
"Escorts Leading Sectors Fund - Direct Plan","Unrated","-","12.4","1","1.1","0.62","9.48","0.46"
"Essel Large & Midcap Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Essel Large & Midcap Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Franklin India Bluechip Fund","* * * ","Average","12.71","0.44","0.82","0.9","1.29","0.93"
"Franklin India Bluechip Fund - Direct Plan","* * * * ","Average","12.72","0.5","0.95","0.9","2.17","0.93"
"Franklin India Flexi Cap Fund","* * * * ","Low","11.75","0.47","0.79","0.79","1.82","0.85"
"Franklin India Flexi Cap Fund - Direct Plan","* * * * * ","Low","11.76","0.54","0.91","0.8","2.6","0.85"
"Franklin India Index Fund - NSE Nifty Plan","* * ","Above Average","13.45","0.28","0.46","0.98","-0.85","1"
"Franklin India Index Fund - NSE Nifty Plan - Direct Plan","* * ","Average","13.45","0.31","0.51","0.98","-0.43","1"
"Franklin India Prima Fund","* * * ","Below Average","13.63","0.81","1.22","0.86","6.93","0.74"
"Franklin India Prima Fund - Direct Plan","* * * * ","Below Average","13.63","0.89","1.34","0.86","8.05","0.74"
"Franklin India Smaller Companies Fund","* * * * ","Low","13.94","0.98","1.32","0.82","9.78","0.64"
"Franklin India Smaller Companies Fund - Direct Plan","* * * * ","Low","13.95","1.08","1.45","0.82","11.13","0.64"
"HDFC Equity Fund","* * * ","High","17.26","0.43","0.64","1.19","1.84","0.89"
"HDFC Equity Fund - Direct Plan","* * * * ","High","17.28","0.48","0.71","1.19","2.69","0.89"
"HDFC Growth Fund","* * * ","Above Average","15.34","0.56","0.85","1.08","3.52","0.92"
"HDFC Growth Fund - Direct Plan","* * * * ","Above Average","15.35","0.6","0.91","1.08","4.13","0.92"
"HDFC Index Fund - Nifty Plan","* * ","Average","13.48","0.33","0.54","0.99","-0.15","1"
"HDFC Index Fund - Nifty Plan - Direct Plan","* * * ","Average","13.48","0.35","0.56","0.99","0","1"
"HDFC Index Fund - Sensex Plan","* * ","Average","13.37","0.32","0.51","0.97","-0.25","0.99"
"HDFC Index Fund - Sensex Plan - Direct Plan","* * ","Average","13.38","0.33","0.53","0.97","-0.12","0.99"
"HDFC Index Fund - Sensex Plus Plan","* * ","Above Average","13.72","0.32","0.5","1","-0.31","0.98"
"HDFC Index Fund - Sensex Plus Plan - Direct Plan","* * * ","Above Average","13.71","0.34","0.54","0.99","-0.03","0.98"
"HDFC Large Cap Fund - Direct Plan","* ","Above Average","15.1","0.26","0.43","1.07","-1.16","0.93"
"HDFC Large Cap Fund - Regular Plan","* ","High","15.1","0.25","0.42","1.07","-1.27","0.93"
"HDFC Mid-Cap Opportunities Fund","* * * * ","Below Average","14.71","0.87","1.35","0.89","8.67","0.68"
"HDFC Mid-Cap Opportunities Fund - Direct Plan","* * * * ","Below Average","14.72","0.94","1.46","0.89","9.65","0.68"
"HDFC Nifty ETF","Unrated","-","-","-","-","-","-","-"
"HDFC Sensex ETF","Unrated","-","-","-","-","-","-","-"
