"Value Research Online"
"Date: 01-Apr-2018 13:07"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"SBI Bluechip Fund - Direct Plan","* * * * * ","Low","12.27","0.7","0.97","0.85","4.6","0.89"
"SBI Emerging Businesses Fund","* * ","Average","12.9","0.79","1.23","0.71","6.85","0.56"
"SBI Emerging Businesses Fund - Direct Plan","* * ","Below Average","12.9","0.86","1.34","0.71","7.79","0.56"
"SBI ETF BSE 100 Fund","Unrated","-","-","-","-","-","-","-"
"SBI ETF Nifty 50","Unrated","-","-","-","-","-","-","-"
"SBI ETF Sensex","* * * ","Average","13.38","0.36","0.57","0.97","0.2","0.98"
"SBI Magnum Equity Fund","* * * ","Below Average","13.24","0.38","0.62","0.94","0.66","0.93"
"SBI Magnum Equity Fund - Direct Plan","* * * ","Below Average","13.24","0.44","0.71","0.94","1.45","0.93"
"SBI Magnum Global Fund","* * * ","Low","12.71","0.53","0.81","0.6","3.92","0.42"
"SBI Magnum Global Fund - Direct Plan","* * * ","Low","12.71","0.61","0.92","0.6","4.91","0.42"
"SBI Magnum Midcap Fund","* * * ","Below Average","14.27","0.76","1.06","0.77","7.2","0.55"
"SBI Magnum Midcap Fund - Direct Plan","* * * * ","Below Average","14.27","0.84","1.17","0.77","8.36","0.55"
"SBI Nifty Index Fund","* * ","Above Average","13.57","0.29","0.48","0.99","-0.7","1"
"SBI Nifty Index Fund - Direct Plan","* * ","Above Average","13.56","0.33","0.54","0.99","-0.2","1"
"SBI Small & Midcap Fund","* * * * * ","Average","17.18","1.25","1.72","0.79","17.83","0.39"
"SBI Small & Midcap Fund - Direct Plan","* * * * * ","Below Average","17.18","1.33","1.82","0.79","19.09","0.39"
"Sundaram S.M.I.L.E. Fund - Direct Plan","* ","High","21.07","0.62","0.82","1.17","7.56","0.58"
"Sundaram S.M.I.L.E. Fund - Regular Plan","* ","High","21.06","0.6","0.79","1.17","7.09","0.58"
"Sundaram Select Focus Fund - Direct Plan","* * * ","Average","12.7","0.42","0.64","0.91","1.1","0.95"
"Sundaram Select Focus Fund - Regular Plan","* * * ","Average","12.68","0.38","0.59","0.91","0.54","0.95"
"Sundaram Select Midcap Fund - Direct Plan","* * * * ","Average","16.24","0.84","1.14","0.94","9.28","0.62"
"Sundaram Select Midcap Fund - Regular Plan","* * * ","Average","16.25","0.81","1.1","0.94","8.78","0.62"
"Tata Index Nifty Fund - Direct Plan","* * ","Above Average","13.55","0.32","0.53","0.99","-0.28","1"
"Tata Index Nifty Fund - Regular Plan","* * ","Above Average","13.54","0.28","0.46","0.99","-0.82","1"
"Tata Index Sensex Fund - Direct Plan","* * ","Average","13.4","0.3","0.47","0.98","-0.6","0.99"
"Tata Index Sensex Fund - Regular Plan","* ","Average","13.4","0.26","0.41","0.97","-1.1","0.99"
"Tata Large Cap Fund - Direct Plan","* * * * ","Below Average","13.26","0.46","0.73","0.94","1.69","0.94"
"Tata Large Cap Fund - Regular Plan","* * * ","Below Average","13.24","0.34","0.54","0.94","0.06","0.94"
"Tata Midcap Growth Fund - Direct Plan","* * * ","Above Average","16.97","0.58","0.78","0.96","5.29","0.6"
"Tata Midcap Growth Fund - Regular Plan","* * * ","Above Average","16.97","0.53","0.72","0.96","4.53","0.6"
"Taurus Discovery (Midcap) Fund - Direct Plan","* * ","High","16.73","0.73","1.04","1.03","7.39","0.71"
"Taurus Discovery (Midcap) Fund - Regular Plan","* * ","High","16.71","0.7","0.99","1.03","6.84","0.71"
"Taurus Largecap Equity Fund - Direct Plan","* * ","Above Average","13.99","0.2","0.28","0.97","-1.8","0.9"
"Taurus Largecap Equity Fund - Regular Plan","* ","High","13.96","0.11","0.15","0.97","-3.09","0.9"
"Taurus Nifty Index Fund - Direct Plan","Unrated","-","13.45","0.31","0.5","0.98","-0.54","1"
"Taurus Nifty Index Fund - Regular Plan","Unrated","-","13.34","0.23","0.38","0.98","-1.48","1"
"Taurus Starshare (Multi Cap) Fund - Direct Plan","* * * ","High","15.67","0.31","0.42","1.09","-0.29","0.91"
"Taurus Starshare (Multi Cap) Fund - Regular Plan","* * ","High","15.65","0.25","0.33","1.09","-1.29","0.91"
"Union Equity Fund","* ","Above Average","13.53","0.11","0.16","0.95","-2.98","0.91"
"Union Equity Fund - Direct Plan","* ","Average","13.52","0.17","0.25","0.94","-2.16","0.91"
"Union Largecap Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Union Largecap Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Union Small Cap Fund - Direct Plan","* ","Average","15.62","0.57","0.74","0.94","4.41","0.68"
"Union Small Cap Fund - Regular Plan","* ","Above Average","15.61","0.5","0.66","0.94","3.42","0.67"
"UTI Equity Fund","* * * ","Below Average","12.51","0.42","0.64","0.85","1.21","0.85"
"UTI Equity Fund - Direct Plan","* * * ","Below Average","12.51","0.45","0.69","0.85","1.66","0.85"
"UTI Mastershare Fund","* * * ","Average","12.76","0.35","0.61","0.9","0.2","0.92"
"UTI Mastershare Fund - Direct Plan","* * * ","Average","12.74","0.4","0.7","0.89","0.87","0.92"
"UTI Mid Cap Fund","* * * ","Average","14.96","0.71","1.04","0.84","6.65","0.59"
"UTI Mid Cap Fund - Direct Plan","* * * ","Average","14.96","0.77","1.13","0.84","7.57","0.59"
"UTI Nifty Exchange Traded Fund","Unrated","-","-","-","-","-","-","-"
"UTI Nifty Index Fund","* * ","Average","13.46","0.34","0.54","0.98","-0.11","1"
"UTI Nifty Index Fund - Direct Plan","* * * ","Average","13.46","0.34","0.56","0.99","-0.01","1"
"UTI Opportunities Fund","* ","Above Average","13.38","0.21","0.34","0.95","-1.62","0.93"
"UTI Opportunities Fund - Direct Plan","* * ","Above Average","13.38","0.27","0.43","0.95","-0.88","0.93"
"UTI Sensex Exchange Traded Fund","Unrated","-","-","-","-","-","-","-"
"UTI Top 100 Fund","* * * ","Below Average","13.15","0.44","0.68","0.89","1.58","0.86"
"UTI Top 100 Fund - Direct Plan","* * * * ","Below Average","13.15","0.48","0.74","0.89","2.11","0.86"
"# Rating is provisional"
