"Value Research Online"
"Date: 01-Apr-2018 13:10"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Franklin India Treasury Management Account Fund - Direct Plan","* * * * ","-","0.28","15.97","43.64","0.63","3.42","0.46"
"Franklin India Treasury Management Account Fund - Super Institutional Plan","* * * ","-","0.27","15.79","43.39","0.63","3.35","0.46"
"HDFC Cash Management Fund - Call Plan","* ","-","0.18","17.88","37.78","0.34","2.76","0.29"
"HDFC Cash Management Fund - Call Plan - Direct Plan","* ","-","0.19","17.93","37.96","0.34","2.82","0.29"
"HDFC Cash Management Fund - Savings Plan","* * ","-","0.26","15.56","39.87","0.55","3.24","0.39"
"HDFC Cash Management Fund - Savings Plan - Direct Plan","* * * ","-","0.26","16.68","40.9","0.54","3.45","0.39"
"HDFC Gilt Fund - Long Term Plan","* * * ","Average","5.68","0.61","1.03","1.08","-0.53","0.97"
"HDFC Gilt Fund - Long Term Plan - Direct Plan","* * * ","Average","5.68","0.69","1.17","1.08","-0.07","0.97"
"HDFC Gilt Fund - Short Term Plan","* ","High","2.5","1.8","2.59","0.45","2.84","0.86"
"HDFC Gilt Fund - Short Term Plan - Direct Plan","* * ","Above Average","2.5","1.9","2.74","0.45","3.11","0.86"
"HDFC Liquid Fund","* * ","-","0.26","15.88","38.96","0.56","3.32","0.39"
"HDFC Liquid Fund - Direct Plan","* * * ","-","0.26","16.44","39.38","0.55","3.42","0.39"
"HSBC Cash Fund","* * * ","-","0.24","17.49","38.91","0.53","3.4","0.42"
"HSBC Cash Fund - Direct Plan","* * * * ","-","0.24","17.73","39.31","0.53","3.46","0.42"
"ICICI Prudential Constant Maturity Gilt Fund","* * * ","Average","4.51","0.87","1.36","0.84","0.79","0.94"
"ICICI Prudential Constant Maturity Gilt Fund - Direct Plan","* * * ","Below Average","4.51","0.93","1.45","0.84","1.06","0.94"
"ICICI Prudential Gilt Fund - Investment Plan - PF Option","* * * ","Above Average","5.79","0.76","1.48","1.09","0.35","0.96"
"ICICI Prudential Gilt Fund - Investment Plan - PF Option - Direct Plan","* * * * ","Above Average","5.8","0.81","1.57","1.09","0.64","0.96"
"ICICI Prudential Gilt Fund - Treasury Plan - PF Option","* * * ","Above Average","4.08","1.42","2.33","0.58","3.67","0.54"
"ICICI Prudential Gilt Fund - Treasury Plan - PF Option - Direct Plan","* * * * ","Above Average","4.09","1.53","2.52","0.58","4.12","0.54"
"ICICI Prudential Liquid Plan","* * * ","-","0.25","16.76","41.17","0.55","3.38","0.42"
"ICICI Prudential Liquid Plan - Direct Plan","* * * ","-","0.26","16.84","42.26","0.56","3.43","0.42"
"ICICI Prudential Long Term Gilt Fund","* * * ","High","6.44","0.61","1.11","1.22","-0.61","0.96"
"ICICI Prudential Long Term Gilt Fund - Direct Plan","* * * ","High","6.44","0.71","1.29","1.22","0.05","0.96"
"ICICI Prudential Money Market Fund","* * * ","-","0.25","16.99","39.7","0.53","3.42","0.4"
"ICICI Prudential Money Market Fund - Direct Plan","* * * * ","-","0.25","17.5","41.23","0.53","3.51","0.4"
